MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
AQUITANIA (PUEBLOVIEJO);JOSE GIOVANY PINZON BAEZ;PACTO HISTORICO;316,AQUITANIA (PUEBLOVIEJO);JOSE GIOVANY PINZON BAEZ;PACTO HISTÓRICO;316,0.0,0.0
AQUITANIA (PUEBLOVIEJO);KAREN LUCIA MOLANO GRANADOS;PARTIDO ALIANZA VERDE;37,AQUITANIA (PUEBLOVIEJO);KAREN LUCIA MOLANO GRANADOS;PARTIDO ALIANZA VERDE;37,0.0,0.0
AQUITANIA (PUEBLOVIEJO);KAROL RICARDO RAMIREZ SILVA;PACTO HISTORICO;73,AQUITANIA (PUEBLOVIEJO);KAROL RICARDO RAMIREZ SILVA;PACTO HISTÓRICO;73,0.0,0.0
AQUITANIA (PUEBLOVIEJO);LAURA ANDREA BELLO PORRAS;PARTIDO ALIANZA VERDE;32,AQUITANIA (PUEBLOVIEJO);LAURA ANDREA BELLO PORRAS;PARTIDO ALIANZA VERDE;32,0.0,0.0
AQUITANIA (PUEBLOVIEJO);LEIDY ALEJANDRA MORENO SANCHEZ;PACTO HISTORICO;17,AQUITANIA (PUEBLOVIEJO);LEIDY ALEJANDRA MORENO SANCHEZ;PACTO HISTÓRICO;17,0.0,0.0
AQUITANIA (PUEBLOVIEJO);LUIS ALEJANDRO GUTIERREZ SANABRIA;PARTIDO ALIANZA VERDE;46,AQUITANIA (PUEBLOVIEJO);LUIS ALEJANDRO GUTIERREZ SANABRIA;PARTIDO ALIANZA VERDE;46,0.0,0.0
AQUITANIA (PUEBLOVIEJO);LUIS GUILLERMO BARRERA GUTIERREZ;PARTIDO CAMBIO RADICAL;182,AQUITANIA (PUEBLOVIEJO);LUIS GUILLERMO BARRERA GUTIERREZ;PARTIDO CAMBIO RADICAL;182,0.0,0.0
AQUITANIA (PUEBLOVIEJO);LUPE ISABEL LOPEZ MARQUEZ;PARTIDO CAMBIO RADICAL;37,AQUITANIA (PUEBLOVIEJO);LUPE ISABEL LOPEZ MARQUEZ;PARTIDO CAMBIO RADICAL;37,0.0,0.0
AQUITANIA (PUEBLOVIEJO);MARYORY CATHERIN ORTIZ ALVAREZ;PACTO HISTORICO;20,AQUITANIA (PUEBLOVIEJO);MARYORY CATHERIN ORTIZ ALVAREZ;PACTO HISTÓRICO;20,0.0,0.0
AQUITANIA (PUEBLOVIEJO);MAYDA CECILIA VELASQUEZ RUEDA;PARTIDO LIBERAL COLOMBIANO;12,AQUITANIA (PUEBLOVIEJO);MAYDA CECILIA VELASQUEZ RUEDA;PARTIDO LIBERAL COLOMBIANO;12,0.0,0.0
AQUITANIA (PUEBLOVIEJO);MAYRA ALEJANDRA VIANCHA SANABRIA;PARTIDO LIBERAL COLOMBIANO;16,AQUITANIA (PUEBLOVIEJO);MAYRA ALEJANDRA VIANCHA SANABRIA;PARTIDO LIBERAL COLOMBIANO;16,0.0,0.0
AQUITANIA (PUEBLOVIEJO);MONICA YANNETH QUIROGA CASTILLO;PARTIDO CAMBIO RADICAL;9,AQUITANIA (PUEBLOVIEJO);MONICA YANNETH QUIROGA CASTILLO;PARTIDO CAMBIO RADICAL;9,0.0,0.0
AQUITANIA (PUEBLOVIEJO);MOVIMIENTO DE SALVACION NACIONAL;MOVIMIENTO DE SALVACION NACIONAL;2,AQUITANIA (PUEBLOVIEJO);MOVIMIENTO DE SALVACIÓN NACIONAL;MOVIMIENTO DE SALVACIÓN NACIONAL;2,0.0,0.0
AQUITANIA (PUEBLOVIEJO);NIDIA MILENA TORRES PAEZ;PARTIDO CENTRO DEMOCRATICO;47,AQUITANIA (PUEBLOVIEJO);NIDIA MILENA TORRES PAEZ;PARTIDO CENTRO DEMOCRÁTICO;47,0.0,0.0
AQUITANIA (PUEBLOVIEJO);OLGA MARIA CHIVATA VARGAS;PARTIDO NUEVO LIBERALISMO;5,AQUITANIA (PUEBLOVIEJO);OLGA MARIA CHIVATA VARGAS;PARTIDO NUEVO LIBERALISMO;5,0.0,0.0
AQUITANIA (PUEBLOVIEJO);OLGA NATALIE MANRIQUE ABRIL;COALICION PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;5,Colombia Justa Libres,0.0,0.0
AQUITANIA (PUEBLOVIEJO);OLGA YANETH BELTRAN DORADO;PARTIDO CENTRO DEMOCRATICO;42,AQUITANIA (PUEBLOVIEJO);OLGA YANETH BELTRAN DORADO;PARTIDO CENTRO DEMOCRÁTICO;42,0.0,0.0
AQUITANIA (PUEBLOVIEJO);OSCAR LEONARDO AVILA ROMERO;PARTIDO CAMBIO RADICAL;35,AQUITANIA (PUEBLOVIEJO);OSCAR LEONARDO AVILA ROMERO;PARTIDO CAMBIO RADICAL;35,0.0,0.0
AQUITANIA (PUEBLOVIEJO);PABLO EMILIO CEPEDA NOVOA;PARTIDO CAMBIO RADICAL;22,AQUITANIA (PUEBLOVIEJO);PABLO EMILIO CEPEDA NOVOA;PARTIDO CAMBIO RADICAL;22,0.0,0.0
AQUITANIA (PUEBLOVIEJO);PABLO MENDOZA VARGAS;COALICION PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;6,Colombia Justa Libres,0.0,0.0
AQUITANIA (PUEBLOVIEJO);PACTO HISTORICO;PACTO HISTORICO;85,AQUITANIA (PUEBLOVIEJO);PACTO HISTÓRICO;PACTO HISTÓRICO;85,0.0,0.0
AQUITANIA (PUEBLOVIEJO);PARTIDO ALIANZA VERDE;PARTIDO ALIANZA VERDE;93,AQUITANIA (PUEBLOVIEJO);PARTIDO ALIANZA VERDE;PARTIDO ALIANZA VERDE;93,0.0,0.0
AQUITANIA (PUEBLOVIEJO);PARTIDO CAMBIO RADICAL;PARTIDO CAMBIO RADICAL;22,AQUITANIA (PUEBLOVIEJO);PARTIDO CAMBIO RADICAL;PARTIDO CAMBIO RADICAL;22,0.0,0.0
AQUITANIA (PUEBLOVIEJO);PARTIDO CENTRO DEMOCRATICO;PARTIDO CENTRO DEMOCRATICO;67,AQUITANIA (PUEBLOVIEJO);PARTIDO CENTRO DEMOCRÁTICO;PARTIDO CENTRO DEMOCRÁTICO;67,0.0,0.0
AQUITANIA (PUEBLOVIEJO);PARTIDO CONSERVADOR COLOMBIANO;PARTIDO CONSERVADOR COLOMBIANO;50,AQUITANIA (PUEBLOVIEJO);PARTIDO CONSERVADOR COLOMBIANO;PARTIDO CONSERVADOR COLOMBIANO;50,0.0,0.0
AQUITANIA (PUEBLOVIEJO);PARTIDO LIBERAL COLOMBIANO;PARTIDO LIBERAL COLOMBIANO;14,AQUITANIA (PUEBLOVIEJO);PARTIDO LIBERAL COLOMBIANO;PARTIDO LIBERAL COLOMBIANO;14,0.0,0.0
AQUITANIA (PUEBLOVIEJO);PARTIDO NUEVO LIBERALISMO;PARTIDO NUEVO LIBERALISMO;5,AQUITANIA (PUEBLOVIEJO);PARTIDO NUEVO LIBERALISMO;PARTIDO NUEVO LIBERALISMO;5,0.0,0.0
AQUITANIA (PUEBLOVIEJO);PARTIDO POLITICO DIGNIDAD;PARTIDO POLITICO DIGNIDAD;4,AQUITANIA (PUEBLOVIEJO);PARTIDO POLÍTICO DIGNIDAD;PARTIDO POLÍTICO DIGNIDAD;4,0.0,0.0
AQUITANIA (PUEBLOVIEJO);PEDRO JOSE SUAREZ VACCA;PACTO HISTORICO;50,AQUITANIA (PUEBLOVIEJO);PEDRO JOSE SUAREZ VACCA;PACTO HISTÓRICO;50,0.0,0.0
AQUITANIA (PUEBLOVIEJO);SALOMON RAFAEL RUIZ BERTEL;CABILDO INDIGENA AYWJAWASHI;1,AQUITANIA (PUEBLOVIEJO);SALOMON RAFAEL RUIZ BERTEL;CABILDO INDÍGENA AYWJAWASHI;1,0.0,0.0
AQUITANIA (PUEBLOVIEJO);SANDRO NESTOR CONDIA PEREZ;PARTIDO LIBERAL COLOMBIANO;32,AQUITANIA (PUEBLOVIEJO);SANDRO NESTOR CONDIA PEREZ;PARTIDO LIBERAL COLOMBIANO;32,0.0,0.0
AQUITANIA (PUEBLOVIEJO);WILDER IVAN SUESCA OCHOA;PARTIDO CONSERVADOR COLOMBIANO;158,AQUITANIA (PUEBLOVIEJO);WILDER IVAN SUESCA OCHOA;PARTIDO CONSERVADOR COLOMBIANO;158,0.0,0.0
AQUITANIA (PUEBLOVIEJO);WILLIAM DONATO GOMEZ;PARTIDO CENTRO DEMOCRATICO;74,AQUITANIA (PUEBLOVIEJO);WILLIAM DONATO GOMEZ;PARTIDO CENTRO DEMOCRÁTICO;74,0.0,0.0
AQUITANIA (PUEBLOVIEJO);WILLIAM FERNANDO GRANADOS;PARTIDO NUEVO LIBERALISMO;4,AQUITANIA (PUEBLOVIEJO);WILLIAM FERNANDO GRANADOS;PARTIDO NUEVO LIBERALISMO;4,0.0,0.0
