MUNNOMBRE;PARNOMBRE;VOTOS
SABOYA;FRENTE POR LA VIDA;71
SABOYA;Gran Consulta por Colombia;887
SABOYA;Valientes;22
SACHICA;Alianza Verde;28
SACHICA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;127
SACHICA;Con Toda por Colombia;133
SACHICA;FRENTE POR LA VIDA;208
SACHICA;Gran Consulta por Colombia;394
SACHICA;Valientes;34
SAMACA;Alianza Verde;72
SAMACA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;506
SAMACA;Con Toda por Colombia;632
SAMACA;FRENTE POR LA VIDA;378
SAMACA;Gran Consulta por Colombia;1298
SAMACA;Valientes;124
SAN EDUARDO;Alianza Verde;6
SAN EDUARDO;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;21
SAN EDUARDO;Con Toda por Colombia;29
SAN EDUARDO;FRENTE POR LA VIDA;13
SAN EDUARDO;Gran Consulta por Colombia;108
SAN EDUARDO;Valientes;2
SAN JOSE DE PARE;Alianza Verde;10
SAN JOSE DE PARE;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;73
SAN JOSE DE PARE;Con Toda por Colombia;61
SAN JOSE DE PARE;FRENTE POR LA VIDA;58
SAN JOSE DE PARE;Gran Consulta por Colombia;924
SAN JOSE DE PARE;Valientes;24
SAN LUIS DE GACENO;Alianza Verde;11
SAN LUIS DE GACENO;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;30
SAN LUIS DE GACENO;Con Toda por Colombia;62
SAN LUIS DE GACENO;FRENTE POR LA VIDA;31
SAN LUIS DE GACENO;Gran Consulta por Colombia;709
SAN LUIS DE GACENO;Valientes;12
SAN MATEO;Alianza Verde;7
SAN MATEO;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;39
SAN MATEO;Con Toda por Colombia;54
SAN MATEO;FRENTE POR LA VIDA;50
SAN MATEO;Gran Consulta por Colombia;710
SAN MATEO;Valientes;18
SAN MIGUEL DE SEMA;Alianza Verde;10
SAN MIGUEL DE SEMA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;56
SAN MIGUEL DE SEMA;Con Toda por Colombia;68
SAN MIGUEL DE SEMA;FRENTE POR LA VIDA;36
SAN MIGUEL DE SEMA;Gran Consulta por Colombia;480
SAN MIGUEL DE SEMA;Valientes;30
SAN PABLO DE BORBUR;Alianza Verde;13
SAN PABLO DE BORBUR;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;43
SAN PABLO DE BORBUR;Con Toda por Colombia;65
SAN PABLO DE BORBUR;FRENTE POR LA VIDA;76
SAN PABLO DE BORBUR;Gran Consulta por Colombia;1102
SAN PABLO DE BORBUR;Valientes;34
SANTA MARIA;Alianza Verde;12
SANTA MARIA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;65
SANTA MARIA;Con Toda por Colombia;77
SANTA MARIA;FRENTE POR LA VIDA;49
SANTA MARIA;Gran Consulta por Colombia;285
SANTA MARIA;Valientes;15
SANTA ROSA DE VITERBO;Alianza Verde;64
SANTA ROSA DE VITERBO;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;311
SANTA ROSA DE VITERBO;Con Toda por Colombia;409
SANTA ROSA DE VITERBO;FRENTE POR LA VIDA;159
SANTA ROSA DE VITERBO;Gran Consulta por Colombia;1520
SANTA ROSA DE VITERBO;Valientes;114
SANTA SOFIA;Alianza Verde;9
SANTA SOFIA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;52
SANTA SOFIA;Con Toda por Colombia;56
SANTA SOFIA;FRENTE POR LA VIDA;34
SANTA SOFIA;Gran Consulta por Colombia;520
SANTA SOFIA;Valientes;29
SANTANA;Alianza Verde;6
SANTANA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;68
SANTANA;Con Toda por Colombia;107
SANTANA;FRENTE POR LA VIDA;69
SANTANA;Gran Consulta por Colombia;971
SANTANA;Valientes;43
