MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
GUATEQUE;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;3324
GUAYATA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;1168
GUAYATA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;32
GUAYATA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;15
GUAYATA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1429
GUICAN;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;684
GUICAN;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;95
GUICAN;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;21
GUICAN;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1108
IZA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;402
IZA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;51
IZA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;29
IZA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1117
JENESANO;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;1329
JENESANO;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;91
JENESANO;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;203
JENESANO;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;2492
JERICO;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;802
JERICO;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;56
JERICO;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;13
JERICO;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1452
LA CAPILLA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;348
LA CAPILLA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;17
LA CAPILLA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;19
LA CAPILLA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1461
LA UVITA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;928
